Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.134, , 0.475, 0.707, 0.268, 0.156, , , , , 0.148, 0.125, 0.020, 18.566, 20.599
0.106, , 0.468, 0.642, 0.340, 0.182, , , , , 0.189, 0.141, 0.021, 6.270, 8.359
0.102, , 0.489, 0.652, 0.336, 0.184, , , , , 0.214, 0.153, 0.022, 204.243, 206.395
0.174, , 1.118, 0.582, 0.285, 0.151, , , , , 0.156, 0.117, 0.020, 47.570, 50.173
0.345, 0.720, 0.422, 0.842, 0.457, 0.202, , , , , 0.223, 0.189, 0.023, 0.787, 4.210
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.204, , 0.734, 1.182, 0.464, 0.305, , , , , 0.280, 0.188, 0.021, 18.262, 21.640
0.184, , 0.603, 0.621, 0.325, 0.172, , , , , 0.180, 0.134, 0.021, 5.824, 8.064
0.180, , 0.584, 0.680, 0.321, 0.172, , , , , 0.174, 0.144, 0.022, 173.889, 176.166
0.185, , 0.839, 0.649, 0.280, 0.152, , , , , 0.156, 0.117, 0.021, 57.420, 59.819
0.319, 0.643, 0.426, 0.878, 0.453, 0.198, , , , , 0.218, 0.187, 0.023, 0.400, 3.745
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.182, , 0.574, 0.605, 0.266, 0.150, , , , , 0.147, 0.120, 0.021, 18.430, 20.495
0.133, , 0.765, 1.370, 0.339, 0.199, , , , , 0.202, 0.141, 0.021, 5.993, 9.163
0.158, , 0.669, 0.621, 0.329, 0.185, , , , , 0.185, 0.148, 0.023, 202.876, 205.194
0.164, , 0.447, 0.899, 0.281, 0.153, , , , , 0.157, 0.118, 0.021, 47.472, 49.712
0.367, 0.766, 0.430, 0.804, 0.449, 0.196, , , , , 0.221, 0.187, 0.026, 0.410, 3.856
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.178, , 0.649, 1.080, 0.465, 0.299, , , , , 0.279, 0.186, 0.020, 18.637, 21.793
0.133, , 0.633, 1.088, 0.338, 0.183, , , , , 0.187, 0.143, 0.022, 6.963, 9.690
0.097, , 0.461, 0.649, 0.334, 0.182, , , , , 0.187, 0.154, 0.023, 197.249, 199.336
0.145, , 0.507, 2.119, 0.295, 0.160, , , , , 0.157, 0.119, 0.020, 47.862, 51.384
0.362, 1.019, 0.400, 0.925, 0.465, 0.200, , , , , 0.220, 0.188, 0.024, 0.321, 4.124
