Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.181, , 0.161, 0.718, 0.344, 0.184, 2.054, 0.483, 1.244, 7.870, , , , 5.096, 18.335
0.151, , 0.191, 1.027, 0.339, 0.174, 2.177, 0.494, 1.202, 8.299, , , , 195.238, 209.292
0.153, , 0.141, 0.604, 0.296, 0.154, 1.849, 0.438, 0.962, 7.037, , , , 47.058, 58.692
0.288, 0.992, 0.177, 0.929, 0.483, 0.205, 2.698, 0.644, 1.689, 12.322, , , , 0.318, 20.745
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.165, , 0.799, 0.649, 0.281, 0.156, 1.959, 0.461, 0.970, 7.006, , , , 18.233, 30.679
0.136, , 0.243, 1.050, 0.566, 0.311, 2.321, 0.507, 1.274, 8.346, , , , 7.883, 22.637
0.147, , 0.170, 0.653, 0.331, 0.175, 2.144, 0.504, 1.182, 8.154, , , , 187.595, 201.055
0.139, , 0.172, 0.877, 0.302, 0.158, 1.879, 0.442, 0.944, 7.058, , , , 47.501, 59.472
0.344, 1.243, 0.240, 1.200, 0.462, 0.196, 2.595, 0.631, 1.642, 11.990, , , , 1.479, 22.022
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.224, , 0.186, 0.745, 0.287, 0.164, 1.892, 0.460, 1.057, 7.200, , , , 18.206, 30.421
0.160, , 0.177, 0.698, 0.352, 0.185, 2.220, 0.504, 1.221, 8.170, , , , 5.360, 19.047
0.103, , 0.199, 0.741, 0.352, 0.188, 2.254, 0.524, 1.210, 8.351, , , , 186.919, 200.841
0.169, , 0.181, 0.985, 0.440, 0.282, 2.201, 0.436, 0.946, 6.907, , , , 47.588, 60.135
0.874, 0.914, 0.177, 0.930, 0.541, 0.200, 2.596, 0.646, 1.652, 12.468, , , , 0.331, 21.329
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
