Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
0.899, 0.018, 0.267, 0.533, 3.644, 0.012, 0.046, 2.306, 0.008, 0.035, 0.983, 0.010, 0.038, 0.648, 0.008, 0.032, 0.919, 0.009, 0.035, 0.771, 0.023, 1.503, 0.012
1.321, 0.033, 0.351, 0.752, 5.251, 0.018, 0.068, 2.282, 0.008, 0.036, 0.886, 0.008, 0.032, 0.859, 0.008, 0.030, 0.974, 0.008, 0.033, 0.768, 0.018, 1.582, 0.011
1.171, 0.021, 0.293, 0.627, 4.554, 0.014, 0.055, 2.274, 0.008, 0.034, 0.758, 0.008, 0.045, 0.965, 0.008, 0.031, 1.209, 0.021, 0.032, 0.841, 0.036, 1.554, 0.026
1.282, 0.026, 0.307, 0.654, 4.284, 0.014, 0.056, 2.315, 0.007, 0.035, 0.935, 0.008, 0.032, 0.787, 0.008, 0.030, 0.780, 0.008, 0.034, 0.947, 0.018, 1.544, 0.012
1.188, 0.021, 0.305, 0.662, 4.926, 0.013, 0.048, 2.016, 0.008, 0.034, 1.014, 0.008, 0.033, 0.691, 0.008, 0.032, 0.696, 0.008, 0.035, 0.657, 0.018, 1.563, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11b.sql...
2.020, 0.045, 0.630, 1.395, 9.155, 0.033, 0.129, 2.052, 0.010, 0.043, 0.854, 0.008, 0.043, 0.879, 0.019, 0.040, 0.933, 0.007, 0.032, 1.058, 0.029, 1.105, 0.015
0.559, 0.011, 0.149, 0.336, 2.655, 0.006, 0.026, 2.315, 0.009, 0.038, 0.876, 0.031, 0.059, 0.716, 0.008, 0.052, 0.726, 0.007, 0.048, 0.787, 0.018, 1.054, 0.011
0.515, 0.031, 0.145, 0.285, 2.535, 0.007, 0.025, 2.439, 0.009, 0.037, 0.984, 0.008, 0.031, 0.883, 0.008, 0.035, 0.833, 0.008, 0.032, 0.979, 0.016, 1.106, 0.011
0.491, 0.011, 0.150, 0.285, 2.329, 0.008, 0.032, 2.292, 0.009, 0.038, 0.891, 0.008, 0.045, 0.764, 0.008, 0.031, 0.802, 0.008, 0.034, 0.725, 0.016, 0.989, 0.011
0.652, 0.012, 0.153, 0.333, 2.368, 0.007, 0.026, 2.028, 0.009, 0.039, 0.768, 0.008, 0.070, 0.879, 0.008, 0.032, 0.767, 0.008, 0.034, 0.656, 0.017, 1.045, 0.011
0.527, 0.011, 0.148, 0.281, 1.969, 0.008, 0.031, 2.031, 0.011, 0.043, 0.890, 0.008, 0.036, 0.779, 0.023, 0.043, 0.899, 0.008, 0.032, 0.881, 0.022, 1.084, 0.026
0.670, 0.012, 0.154, 0.285, 2.438, 0.007, 0.026, 2.169, 0.009, 0.036, 0.862, 0.011, 0.030, 0.860, 0.008, 0.031, 0.767, 0.008, 0.037, 0.888, 0.022, 1.014, 0.011
0.496, 0.011, 0.152, 0.284, 2.025, 0.008, 0.031, 2.158, 0.009, 0.037, 0.804, 0.008, 0.045, 0.915, 0.008, 0.045, 0.837, 0.008, 0.033, 0.828, 0.024, 1.111, 0.012
0.705, 0.012, 0.235, 0.508, 2.956, 0.007, 0.025, 2.450, 0.008, 0.037, 0.959, 0.008, 0.058, 0.817, 0.007, 0.054, 0.650, 0.008, 0.032, 0.657, 0.023, 1.052, 0.011
0.538, 0.018, 0.150, 0.280, 2.347, 0.007, 0.026, 2.191, 0.009, 0.039, 1.117, 0.008, 0.033, 0.816, 0.008, 0.032, 0.705, 0.008, 0.035, 0.798, 0.025, 1.116, 0.012
0.580, 0.011, 0.158, 0.290, 2.231, 0.007, 0.027, 2.431, 0.009, 0.037, 0.800, 0.008, 0.033, 0.994, 0.008, 0.031, 0.737, 0.007, 0.031, 0.723, 0.018, 1.074, 0.011
0.662, 0.011, 0.146, 0.291, 2.343, 0.007, 0.026, 2.085, 0.010, 0.044, 0.959, 0.007, 0.044, 0.828, 0.008, 0.031, 0.824, 0.006, 0.030, 0.763, 0.016, 1.110, 0.012
0.732, 0.014, 0.147, 0.273, 2.409, 0.007, 0.025, 2.092, 0.008, 0.038, 0.866, 0.024, 0.031, 0.825, 0.008, 0.043, 0.660, 0.008, 0.034, 0.697, 0.017, 1.032, 0.015
0.644, 0.027, 0.149, 0.321, 2.664, 0.006, 0.026, 2.225, 0.009, 0.037, 1.000, 0.008, 0.035, 0.857, 0.008, 0.044, 0.937, 0.008, 0.047, 0.949, 0.017, 1.089, 0.010
