Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
1.378, 0.000, 0.000, 0.000, 0.000, 0.008, 0.018, 0.657, 6.243, 0.046, 0.037, 0.009, 0.019, 0.925, 0.262, 0.020, 0.023, 0.009, 0.021, 0.749, 0.500, 0.018, 0.019, 0.010, 0.023, 2.374, 2.933, 0.027, 0.027, 0.007, 0.020, 0.734, 0.641, 0.014, 0.012, 0.009, 0.832, 0.227, 0.011
1.380, 0.000, 0.000, 0.000, 0.000, 0.009, 0.019, 0.673, 6.439, 0.044, 0.038, 0.009, 0.019, 0.933, 0.212, 0.013, 0.022, 0.008, 0.022, 0.735, 1.169, 0.015, 0.019, 0.010, 0.023, 2.400, 2.815, 0.030, 0.025, 0.007, 0.021, 0.755, 0.522, 0.017, 0.014, 0.009, 0.862, 0.262, 0.013
1.437, 0.000, 0.000, 0.000, 0.000, 0.009, 0.019, 0.843, 6.535, 0.046, 0.037, 0.009, 0.019, 0.957, 0.275, 0.013, 0.022, 0.008, 0.023, 0.736, 0.495, 0.015, 0.020, 0.010, 0.023, 2.393, 2.836, 0.027, 0.024, 0.007, 0.021, 0.758, 0.627, 0.016, 0.014, 0.011, 1.199, 0.225, 0.012
1.314, 0.000, 0.000, 0.000, 0.000, 0.009, 0.019, 0.693, 6.550, 0.046, 0.036, 0.009, 0.019, 0.968, 0.243, 0.018, 0.021, 0.008, 0.023, 0.752, 0.510, 0.014, 0.019, 0.010, 0.023, 2.390, 2.910, 0.026, 0.025, 0.008, 0.021, 0.747, 0.714, 0.015, 0.013, 0.009, 0.859, 0.255, 0.012
1.272, 0.000, 0.000, 0.000, 0.000, 0.009, 0.018, 0.672, 6.364, 0.046, 0.037, 0.008, 0.019, 0.925, 0.226, 0.014, 0.021, 0.008, 0.022, 0.736, 0.479, 0.014, 0.019, 0.010, 0.023, 2.382, 2.826, 0.026, 0.024, 0.007, 0.020, 0.759, 0.585, 0.015, 0.013, 0.009, 0.841, 0.271, 0.012
1.268, 0.000, 0.000, 0.000, 0.000, 0.009, 0.019, 0.686, 6.358, 0.044, 0.036, 0.008, 0.018, 0.943, 0.271, 0.013, 0.021, 0.009, 0.022, 0.735, 0.479, 0.013, 0.020, 0.009, 0.023, 2.330, 2.859, 0.029, 0.025, 0.009, 0.021, 0.763, 0.563, 0.015, 0.014, 0.010, 0.851, 0.234, 0.012
1.235, 0.000, 0.000, 0.000, 0.000, 0.008, 0.018, 0.660, 6.291, 0.046, 0.036, 0.008, 0.018, 0.921, 0.238, 0.017, 0.021, 0.008, 0.022, 0.739, 0.473, 0.013, 0.019, 0.009, 0.023, 2.327, 2.817, 0.024, 0.024, 0.007, 0.020, 0.737, 0.618, 0.014, 0.012, 0.009, 0.816, 0.234, 0.012
1.383, 0.000, 0.000, 0.000, 0.000, 0.009, 0.019, 0.683, 6.410, 0.046, 0.038, 0.008, 0.019, 0.937, 0.987, 0.014, 0.022, 0.008, 0.022, 0.753, 0.454, 0.013, 0.020, 0.010, 0.023, 2.358, 3.993, 0.031, 0.025, 0.007, 0.021, 0.774, 0.796, 0.015, 0.013, 0.009, 0.841, 0.245, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11b.sql...
0.163, 0.000, 0.000, 0.000, 0.393, 1.567, 0.000, 0.008, 0.017, 0.213, 4.958, 0.045, 0.035, 0.008, 0.017, 0.370, 0.192, 0.013, 0.033, 0.009, 0.021, 0.862, 1.324, 0.015, 0.021, 0.010, 0.023, 1.543, 2.359, 0.020, 0.021, 0.006, 0.019, 0.218, 0.186, 0.028, 0.013, 0.010, 0.635, 0.275, 0.009
0.070, 0.000, 0.000, 0.000, 0.000, 0.008, 0.017, 0.199, 4.054, 0.045, 0.036, 0.009, 0.020, 0.377, 0.221, 0.011, 0.021, 0.008, 0.020, 0.893, 1.340, 0.015, 0.024, 0.011, 0.026, 1.548, 3.039, 0.023, 0.022, 0.007, 0.019, 0.227, 0.204, 0.039, 0.011, 0.009, 0.422, 0.277, 0.011
0.068, 0.000, 0.000, 0.000, 0.000, 0.008, 0.017, 0.194, 4.137, 0.043, 0.036, 0.008, 0.017, 0.447, 0.300, 0.011, 0.021, 0.008, 0.020, 0.820, 1.320, 0.028, 0.019, 0.009, 0.021, 1.527, 2.516, 0.034, 0.024, 0.007, 0.020, 0.258, 0.678, 0.012, 0.011, 0.008, 0.416, 0.266, 0.011
