Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.269, 1.033, 0.110, 0.604, 0.247, 0.154, 1.851, 0.490, 0.903, 6.946, , , , 2.035, 14.642
0.296, 0.777, 0.132, 0.591, 0.349, 0.158, 1.807, 0.463, 1.053, 7.372, , , , 52.359, 65.357
0.222, 0.698, 0.102, 0.553, 0.292, 0.148, 1.664, 0.452, 0.852, 6.316, , , , 1.910, 13.209
0.272, 0.825, 0.157, 0.894, 0.469, 0.199, 2.569, 0.638, 1.623, 12.316, , , , 1.104, 21.066
0.315, 0.969, 0.134, 0.813, 0.304, 0.141, 1.521, 0.412, 0.730, 5.888, , , , 1.831, 13.058
0.276, 1.241, 0.105, 0.563, 0.242, 0.151, 1.810, 0.477, 0.890, 6.906, , , , 1.979, 14.640
0.280, 1.024, 0.124, 0.627, 0.274, 0.159, 1.789, 0.473, 1.061, 7.327, , , , 52.396, 65.534
0.263, 0.844, 0.136, 0.823, 0.361, 0.217, 1.645, 0.449, 0.855, 6.370, , , , 1.117, 13.080
0.262, 0.929, 0.155, 0.872, 0.472, 0.198, 2.574, 0.627, 1.635, 12.180, , , , 1.056, 20.960
0.324, 0.856, 0.105, 0.579, 0.212, 0.130, 1.519, 0.419, 0.758, 6.298, , , , 2.502, 13.702
0.278, 0.808, 0.112, 0.599, 0.244, 0.152, 1.827, 0.480, 0.905, 7.089, , , , 2.177, 14.671
0.274, 0.797, 0.122, 0.622, 0.273, 0.159, 1.785, 0.461, 1.085, 7.091, , , , 52.289, 64.958
0.263, 0.818, 0.134, 0.830, 0.363, 0.236, 1.713, 0.467, 0.874, 6.544, , , , 1.099, 13.341
0.307, 1.094, 0.218, 1.315, 0.476, 0.205, 2.620, 0.651, 1.675, 12.367, , , , 0.251, 21.179
0.292, 1.054, 0.099, 0.541, 0.199, 0.125, 1.562, 0.415, 0.738, 6.233, , , , 1.804, 13.062
0.317, 1.364, 0.143, 0.857, 0.299, 0.151, 1.720, 0.464, 0.903, 7.013, , , , 2.147, 15.378
0.234, 1.051, 0.124, 0.586, 0.272, 0.157, 1.745, 0.534, 1.029, 7.285, , , , 52.420, 65.437
0.225, 0.907, 0.099, 0.557, 0.234, 0.143, 1.631, 0.487, 0.851, 6.351, , , , 1.258, 12.743
0.325, 0.918, 0.168, 0.894, 0.471, 0.202, 2.639, 0.643, 1.657, 12.405, , , , 1.136, 21.458
0.294, 1.241, 0.125, 0.827, 0.345, 0.243, 2.757, 0.744, 0.937, 6.013, , , , 2.410, 15.936
0.322, 0.978, 0.149, 0.838, 0.353, 0.156, 1.788, 0.477, 0.903, 6.776, , , , 1.411, 14.151
0.267, 1.028, 0.125, 0.563, 0.274, 0.158, 1.845, 0.460, 1.027, 7.226, , , , 52.306, 65.279
0.214, 0.601, 0.098, 0.548, 0.237, 0.203, 1.655, 0.450, 0.851, 6.351, , , , 1.104, 12.312
0.430, 0.877, 0.171, 0.909, 0.475, 0.204, 2.620, 0.647, 1.682, 12.481, , , , 1.195, 21.691
0.261, 0.824, 0.104, 0.645, 0.200, 0.124, 1.468, 0.408, 0.745, 6.175, , , , 2.609, 13.563
0.285, 0.944, 0.112, 0.572, 0.252, 0.151, 1.701, 0.464, 0.940, 6.786, , , , 1.568, 13.775
0.502, 0.751, 0.123, 0.577, 0.262, 0.155, 1.839, 0.460, 1.045, 7.200, , , , 52.390, 65.304
0.239, 0.945, 0.098, 0.568, 0.244, 0.147, 1.671, 0.448, 0.876, 6.598, , , , 1.281, 13.115
0.317, 1.041, 0.245, 1.198, 0.465, 0.233, 2.555, 0.629, 1.644, 12.142, , , , 0.271, 20.740
0.305, 1.050, 0.130, 0.875, 0.351, 0.310, 2.706, 0.754, 0.829, 6.285, , , , 2.517, 16.112
0.281, 0.776, 0.106, 0.570, 0.247, 0.154, 1.838, 0.472, 0.902, 6.917, , , , 1.870, 14.133
0.311, 0.953, 0.167, 0.908, 0.346, 0.161, 1.776, 0.463, 1.081, 7.080, , , , 52.337, 65.583
0.246, 0.819, 0.137, 0.824, 0.359, 0.233, 1.815, 0.462, 0.855, 6.347, , , , 1.102, 13.199
0.314, 0.953, 0.172, 0.901, 0.476, 0.200, 2.649, 0.646, 1.656, 12.213, , , , 1.220, 21.400
0.247, 1.016, 0.101, 0.562, 0.205, 0.125, 1.540, 0.416, 0.732, 5.941, , , , 1.835, 12.720
0.322, 0.829, 0.109, 0.590, 0.256, 0.149, 1.802, 0.472, 0.902, 6.985, , , , 2.215, 14.631
0.316, 0.839, 0.118, 0.565, 0.284, 0.154, 1.750, 0.451, 1.099, 6.943, , , , 52.333, 64.852
