Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.302, 0.471, 0.498, 0.533, 0.192, 0.129, , , , , 0.124, 0.101, 0.021, 1.379, 3.750
0.284, 0.553, 0.355, 0.807, 0.434, 0.179, , , , , 0.212, 0.168, 0.019, 0.292, 3.303
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.315, 0.812, 0.533, 0.815, 0.407, 0.242, , , , , 0.220, 0.151, 0.022, 2.740, 6.257
0.384, 0.488, 0.353, 0.546, 0.199, 0.137, , , , , 0.136, 0.102, 0.019, 1.445, 3.809
0.878, 0.582, 0.385, 0.557, 0.333, 0.158, , , , , 0.153, 0.127, 0.019, 63.493, 66.685
0.201, 0.349, 0.346, 0.510, 0.195, 0.130, , , , , 0.125, 0.098, 0.019, 1.343, 3.316
0.301, 0.584, 0.383, 0.839, 0.440, 0.177, , , , , 0.202, 0.171, 0.019, 0.307, 3.423
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10c.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.476, 0.706, 0.534, 0.819, 0.338, 0.240, , , , , 0.215, 0.149, 0.023, 11.406, 14.906
0.393, 0.584, 0.358, 0.717, 0.258, 0.150, , , , , 0.149, 0.125, 0.022, 107.936, 110.692
0.253, 0.528, 0.396, 0.750, 0.324, 0.185, , , , , 0.188, 0.227, 0.022, 106.850, 109.723
0.227, 0.536, 0.386, 0.647, 0.390, 0.146, , , , , 0.159, 0.146, 0.021, 1.846, 4.504
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.284, 0.825, 0.539, 0.830, 0.337, 0.241, , , , , 0.217, 0.151, 0.021, 10.527, 13.972
0.839, 0.842, 0.372, 0.726, 0.269, 0.155, , , , , 0.159, 0.128, 0.022, 105.097, 108.609
0.266, 0.551, 0.406, 0.817, 0.330, 0.194, , , , , 0.195, 0.163, 0.022, 104.124, 107.068
0.251, 0.491, 0.406, 0.671, 0.394, 0.202, , , , , 0.165, 0.146, 0.021, 2.075, 4.822
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
